fonte,host,clube,query,url,arquivo,tstamp,titulo,data_documento,pdf_id,ficheiro_pdf,ficheiro_texto
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",https://web3.cmvm.pt/sdi2004/emitentes/docs/rgs43565.pdf,https://arquivo.pt/wayback/20191116061943/https://web3.cmvm.pt/sdi2004/emitentes/docs/rgs43565.pdf,20191116061943,(Microsoft Word - Relat\363rio Governo das Sociedades 2012 EN vf),2019-11-16,f257edb1457a8e58,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/f257edb1457a8e58.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/f257edb1457a8e58.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",https://web3.cmvm.pt/sdi/emitentes/docs/fsd635303.pdf,https://arquivo.pt/wayback/20190420180047/https://web3.cmvm.pt/sdi/emitentes/docs/fsd635303.pdf,20190420180047,,2019-04-20,3ef31109f2c0d842,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/3ef31109f2c0d842.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/3ef31109f2c0d842.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",https://web3.cmvm.pt/sdi2004/emitentes/docs/pc49342.pdf,https://arquivo.pt/wayback/20191116061654/https://web3.cmvm.pt/sdi2004/emitentes/docs/pc49342.pdf,20191116061654,,2019-11-16,53956bd8728fc935,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/53956bd8728fc935.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/53956bd8728fc935.txt
cmvm,web3.cmvm.pt,porto,"""FC Porto SAD""",https://web3.cmvm.pt/sdi/emitentes/docs/FR76044.pdf,https://arquivo.pt/wayback/20200606001245/https://web3.cmvm.pt/sdi/emitentes/docs/FR76044.pdf,20200606001245,,2020-06-06,776cc4e10eadbac5,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/776cc4e10eadbac5.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/776cc4e10eadbac5.txt
cmvm,web3.cmvm.pt,porto,"""FC Porto SAD""",https://web3.cmvm.pt/sdi/emitentes/docs/CONV75644.pdf,https://arquivo.pt/wayback/20200628013851/https://web3.cmvm.pt/sdi/emitentes/docs/CONV75644.pdf,20200628013851,Microsoft Word - AG-Obrigacionistas-FCPSAD-2017-2020_Informacao-Complementar.docx,2020-06-28,0032e8321909d9eb,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/0032e8321909d9eb.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/0032e8321909d9eb.txt
cmvm,web3.cmvm.pt,porto,"""FC Porto SAD""",http://web3.cmvm.pt/sdi2004/emitentes/docs/FR18967.pdf,https://arquivo.pt/wayback/20170221164534/http://web3.cmvm.pt/sdi2004/emitentes/docs/FR18967.pdf,20170221164534,Microsoft Word - Venda_Postiga_1jun08.doc,2017-02-21,e29587a7276789ce,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/e29587a7276789ce.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/e29587a7276789ce.txt
cmvm,web3.cmvm.pt,porto,"""FC Porto SAD""",https://web3.cmvm.pt/sdi2004/emitentes/docs/FR18967.pdf,https://arquivo.pt/wayback/20190420181440/https://web3.cmvm.pt/sdi2004/emitentes/docs/FR18967.pdf,20190420181440,Microsoft Word - Venda_Postiga_1jun08.doc,2019-04-20,e29587a7276789ce,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/e29587a7276789ce.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/e29587a7276789ce.txt
cmvm,web3.cmvm.pt,porto,"""FC Porto SAD""",https://web3.cmvm.pt/sdi2004/emitentes/docs/FR29231.pdf,https://arquivo.pt/wayback/20191127093413/https://web3.cmvm.pt/sdi2004/emitentes/docs/FR29231.pdf,20191127093413,Microsoft Word - Compra_joaomoutinho_04072010.doc,2019-11-27,53a7cd3cfb2a4c65,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/53a7cd3cfb2a4c65.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/53a7cd3cfb2a4c65.txt
cmvm,web3.cmvm.pt,porto,"""FC Porto SAD""",https://web3.cmvm.pt/sdi/emitentes/docs/fsd301742.pdf,https://arquivo.pt/wayback/20190420174940/https://web3.cmvm.pt/sdi/emitentes/docs/fsd301742.pdf,20190420174940,,2019-04-20,e609c933a6bc6239,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/e609c933a6bc6239.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/e609c933a6bc6239.txt
cmvm,web3.cmvm.pt,porto,"""FC Porto SAD""",http://web3.cmvm.pt/sdi2004/emitentes/docs/FR29231.pdf,https://arquivo.pt/wayback/20170221184021/http://web3.cmvm.pt/sdi2004/emitentes/docs/FR29231.pdf,20170221184021,Microsoft Word - Compra_joaomoutinho_04072010.doc,2017-02-21,53a7cd3cfb2a4c65,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/53a7cd3cfb2a4c65.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/53a7cd3cfb2a4c65.txt
